Temperature,Humidity,Wind Speed,Weather Condition,Date Time
0.47344461305007585,43,0.10731707317073172,clear sky,2024-12-05 18:00:00
0.37253414264036416,32,0.351219512195122,clear sky,2024-12-05 21:00:00
0.2094081942336875,24,0.21219512195121956,clear sky,2024-12-06 00:00:00
0.3034901365705614,24,0.21219512195121956,clear sky,2024-12-06 03:00:00
0.7974203338391501,15,0.3560975609756098,clear sky,2024-12-06 06:00:00
1.0,12,0.5682926829268293,clear sky,2024-12-06 09:00:00
0.6783004552352048,15,0.21463414634146347,clear sky,2024-12-06 12:00:00
0.4939301972685887,17,0.03414634146341463,clear sky,2024-12-06 15:00:00
0.3535660091047041,18,0.23414634146341465,clear sky,2024-12-06 18:00:00
0.21851289833080428,21,0.3365853658536586,clear sky,2024-12-06 21:00:00
0.12670713201820938,25,0.029268292682926845,few clouds,2024-12-07 00:00:00
0.24734446130500767,23,0.0,scattered clouds,2024-12-07 03:00:00
0.7192716236722307,14,0.23414634146341465,broken clouds,2024-12-07 06:00:00
0.8990895295902882,11,0.16829268292682928,overcast clouds,2024-12-07 09:00:00
0.6054628224582702,14,0.11951219512195124,broken clouds,2024-12-07 12:00:00
0.44613050075872535,16,0.3829268292682927,clear sky,2024-12-07 15:00:00
0.2708649468892261,19,0.6121951219512196,clear sky,2024-12-07 18:00:00
0.14264036418816392,23,0.6000000000000001,clear sky,2024-12-07 21:00:00
0.04628224582701071,27,0.6731707317073172,clear sky,2024-12-08 00:00:00
0.1069802731411229,26,0.6073170731707318,clear sky,2024-12-08 03:00:00
0.7215477996965097,20,0.8902439024390244,clear sky,2024-12-08 06:00:00
0.9195751138088011,19,0.5878048780487806,scattered clouds,2024-12-08 09:00:00
0.6426403641881638,24,0.5975609756097562,scattered clouds,2024-12-08 12:00:00
0.405918057663126,32,0.826829268292683,overcast clouds,2024-12-08 15:00:00
0.19650986342943866,53,0.7121951219512196,broken clouds,2024-12-08 18:00:00
0.11077389984825499,66,1.0,clear sky,2024-12-08 21:00:00
0.0,73,0.7365853658536586,clear sky,2024-12-09 00:00:00
0.08270106221547811,74,0.5731707317073171,light rain,2024-12-09 03:00:00
0.5303490136570561,46,0.30243902439024395,clear sky,2024-12-09 06:00:00
0.6972685887708648,37,0.3390243902439025,clear sky,2024-12-09 09:00:00
0.5098634294385432,42,0.4000000000000001,clear sky,2024-12-09 12:00:00
0.34522003034901366,48,0.37560975609756103,clear sky,2024-12-09 15:00:00
0.23748103186646438,52,0.3365853658536586,clear sky,2024-12-09 18:00:00
0.13505311077389992,56,0.3609756097560976,clear sky,2024-12-09 21:00:00
0.058421851289833175,57,0.4804878048780489,clear sky,2024-12-10 00:00:00
0.1077389984825493,54,0.351219512195122,clear sky,2024-12-10 03:00:00
0.5766312594840667,33,0.4317073170731708,clear sky,2024-12-10 06:00:00
0.7625189681335358,23,0.5951219512195123,clear sky,2024-12-10 09:00:00
0.5000000000000001,23,0.43414634146341474,clear sky,2024-12-10 12:00:00
0.3156297420333839,24,0.3317073170731708,few clouds,2024-12-10 15:00:00
